2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65460), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=3
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65461), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65462), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65463), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65464), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65465), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65466), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65467), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65468), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65469), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65470), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65471), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65472), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65473), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65474), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65475), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65476), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65477), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=7
